Exercise,Difficulty Level,Primary Equipment,Prime Mover Muscle,Secondary Muscle,Body Region
Stability Ball Dead Bug,Beginner,Stability Ball,Rectus Abdominis,Obliques,Core
Bodyweight Glute Bridge,Beginner,Bodyweight,Gluteus Maximus,Biceps Femoris,Lower Body
Bodyweight Bird Dog,Beginner,Bodyweight,Rectus Abdominis,Gluteus Maximus,Core
Stability Ball Russian Twist ,Beginner,Stability Ball,Obliques,Rectus Abdominis,Core
Stability Ball Feet Elevated Crunch ,Beginner,Stability Ball,Rectus Abdominis,Iliopsoas,Core
Ring Hanging Knee Raise ,Intermediate,Gymnastic Rings,Rectus Abdominis,Iliopsoas,Core
Parallette Mountain Climber,Novice,Parallette Bars,Rectus Abdominis,Iliopsoas,Core
Parallette Push Up,Novice,Parallette Bars,Pectoralis Major,Triceps Brachii,Upper Body
Bodyweight Knee Hover Bird Dog,Intermediate,Bodyweight,Rectus Abdominis,Gluteus Maximus,Core
Stability Ball V Up Pass,Novice,Stability Ball,Rectus Abdominis,Iliopsoas,Core
Bodyweight Dead Bug,Beginner,Bodyweight,Rectus Abdominis,Obliques,Core
Bodyweight Alternating Heel Taps,Beginner,Bodyweight,Obliques,Rectus Abdominis,Core
Bodyweight Flutter Kicks,Beginner,Bodyweight,Iliopsoas,Rectus Abdominis,Core
Bodyweight Kneeling Forearm Plank,Beginner,Bodyweight,Rectus Abdominis,,Core
Bodyweight Seated Ab Circles,Novice,Bodyweight,Rectus Abdominis,,Core
Ring Hanging Oblique Knee Raise,Intermediate,Gymnastic Rings,Obliques,Rectus Abdominis,Core
Stability Ball Stir the Pot,Novice,Stability Ball,Rectus Abdominis,,Core
Bodyweight Alternating Lateral Kick Through,Intermediate,Bodyweight,Rectus Abdominis,,Core
Ring Hanging L Sit Flutter Kicks ,Intermediate,Gymnastic Rings,Iliopsoas,Rectus Abdominis,Core
Slam Ball Russian Twist,Novice,Slam Ball,Obliques,Rectus Abdominis,Core
Dumbbell Crush Grip Otis Up,Novice,Dumbbell,Rectus Abdominis,Rectus Abdominis,Core
Single Arm Dumbbell Side Plank Reach Through ,Advanced,Dumbbell,Obliques,Rectus Abdominis,Core
Ab Wheel Kneeling Rollout,Novice,Ab Wheel,Rectus Abdominis,Latissimus Dorsi,Core
Cable Seated Crunch,Novice,Cable,Rectus Abdominis,Iliopsoas,Core
Cable Kneeling Crunch,Novice,Cable,Rectus Abdominis,Iliopsoas,Core
Medicine Ball V Up,Novice,Medicine Ball,Rectus Abdominis,Iliopsoas,Core
Suspension Knee Tuck,Novice,Suspension Trainer,Rectus Abdominis,,Core
Suspension Lateral Knee Tuck,Intermediate,Suspension Trainer,Rectus Abdominis,,Core
Suspension Archer Row ,Novice,Suspension Trainer,Posterior Deltoids,,Upper Body
Single Arm Dumbbell Turkish Get Up,Intermediate,Dumbbell,Obliques,Rectus Abdominis,Full Body
Bodyweight Bear Crawl,Novice,Bodyweight,Rectus Abdominis,,Core
Stability Ball Knee Tuck,Novice,Stability Ball,Rectus Abdominis,,Core
Ring Hanging Leg Raise ,Advanced,Gymnastic Rings,Rectus Abdominis,Iliopsoas,Core
Parallette L Sit,Advanced,Parallette Bars,Rectus Abdominis,,Core
Bodyweight Standing Walkout Plank,Intermediate,Bodyweight,Rectus Abdominis,,Core
Ring Eccentric Pull Up,Novice,Gymnastic Rings,Latissimus Dorsi,,Upper Body
Barbell Climb,Expert,Barbell,Rectus Abdominis,,Core
Bodyweight Ipsilateral Bird Dog,Advanced,Bodyweight,Rectus Abdominis,Gluteus Maximus,Core
Bodyweight Copenhagen Plank Knee to Elbow,Advanced,Bodyweight,Adductor Magnus,,Lower Body
Ring Eccentric Chin Up,Novice,Gymnastic Rings,Biceps Brachii,Latissimus Dorsi,Upper Body
Single Arm Dumbbell Seated Shoulder External Rotation,Novice,Dumbbell,Posterior Deltoids,Infraspinatus,Upper Body
Double Dumbbell Seated Cuban Rotation,Novice,Dumbbell,Posterior Deltoids,Infraspinatus,Upper Body
Double Dumbbell Cuban Rotation,Novice,Dumbbell,Posterior Deltoids,Infraspinatus,Upper Body
Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,Novice,Cable,Posterior Deltoids,Infraspinatus,Upper Body
